"requested","rgb_lux_10","rgb_cct_10","rgb_lux_20","rgb_cct_20","rgb_lux_50","rgb_cct_50","rgb_lux_100","rgb_cct_100","parameter","value"
2000.0,34.16556,2371,31.6173,2469,34.14983,2131,121.1997,1081,"",""
2500.0,31.88471,2463,31.85325,2456,35.65991,2183,136.8982,1203,"",""
3000.0,32.13639,2466,32.13639,2484,35.91159,2185,161.1067,1399,"",""
3500.0,32.43526,2453,32.51391,2450,37.48459,2231,190.3487,1648,"",""
4000.0,32.76559,2434,32.81278,2450,39.21489,2325,207.3843,1981,"",""
4500.0,33.04873,2436,33.17457,2455,41.66877,2456,273.6234,2376,"",""
5000.0,53.12021,2416,33.20603,2471,43.58783,2564,325.8155,2850,"",""
5500.0,33.12738,2463,32.98581,2466,44.31141,2659,385.3378,3392,"",""
6000.0,32.92289,2457,32.70267,2461,46.0889,2817,445.977,3974,"",""
6500.0,32.41953,2480,32.18358,2479,48.24391,3018,512.1845,4643,"",""
7000.0,31.53865,2444,31.6173,2449,46.2462,3026,453.024,5714,"",""
"","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","interval",""
"","","","","","","","","","rgb_gamma",2.2
