requested,w_white,rgb_white,rgbw_white,rgb_r,rgb_g,rgb_b,w_lux,rgb_lux,rgbw_lux,w_cct,rgb_cct,rgbw_cct,parameter,value
0.0,0.065064,0.065019,0.065095,0.013901,0.009506,0.004196,19.44228,19.59958,19.59958,2511,2538,2524,,
0.0625,0.065049,0.065095,0.064958,0.013993,0.009567,0.004257,19.53666,19.72542,19.6625,2521,2545,2538,,
0.125,0.069169,0.068269,0.064408,0.01619,0.011307,0.005905,24.57026,23.31186,19.47374,2661,2790,2531,,
0.1875,0.077455,0.074586,0.06746,0.020645,0.015167,0.008988,35.3925,31.27124,23.50062,2871,3181,2698,,
0.25,0.087846,0.082399,0.070359,0.026352,0.020066,0.012955,48.66862,41.3699,28.03086,3026,3527,2906,,
0.3125,0.104891,0.095247,0.077134,0.035401,0.027909,0.019425,70.18726,57.54034,36.9655,3155,3921,3136,,
0.375,0.123964,0.109651,0.08365,0.045426,0.036515,0.026658,93.97102,75.28378,45.96306,3219,4205,3280,,
0.4375,0.149401,0.129046,0.090135,0.059037,0.048112,0.036133,126.3119,99.19338,54.77186,3291,4409,3394,,
0.5,0.178866,0.151492,0.100511,0.074723,0.061784,0.047227,163.2459,127.3815,68.51988,3337,4590,3538,,
0.5625,0.214633,0.178836,0.114641,0.093721,0.077897,0.060655,208.1079,160.6033,86.23186,3363,4718,3647,,
0.625,0.252399,0.20763,0.128939,0.113756,0.095109,0.074815,255.0462,196.0902,104.5416,3384,4815,3719,,
0.6875,0.296178,0.241398,0.143404,0.137026,0.115023,0.091218,310.3529,237.1455,122.6625,3407,4890,3768,,
0.75,0.34612,0.27985,0.161761,0.163577,0.138338,0.109941,372.8325,285.2164,145.2194,3421,4962,3822,,
0.8125,0.399283,0.321248,0.184131,0.192187,0.16286,0.130114,439.8423,335.7726,172.8098,3433,5008,3866,,
0.875,0.457465,0.366903,0.206027,0.223774,0.190295,0.152453,513.4587,392.3376,199.5508,3444,5054,3887,,
0.9375,0.521035,0.416068,0.232151,0.258015,0.219791,0.176623,594.6884,453.1498,231.5771,3455,5086,3922,,
1.0,0.58909,0.469718,0.257054,0.295644,0.252338,0.203326,682.4618,520.254,262.2505,3465,5119,3939,,
,,,,,,,,,,,,,interval,
,,,,,,,,,,,,,w_gamma,1
,,,,,,,,,,,,,rgb_gamma,1
,,,,,,,,,,,,,rgb_temperature,
,,,,,,,,,,,,,r_factor,1
,,,,,,,,,,,,,g_factor,1
,,,,,,,,,,,,,b_factor,1
,,,,,,,,,,,,,w_factor,1
