"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.0259552,0.025817871,0.026000977,0.211583927,0.154255316,0.073286049,16.48504066,16.42211914,16.79964066,2850,2822,2893,"",""
0.125,0.049972534,0.058364868,0.056045532,0.472418308,0.396078438,0.30300653,78.20955658,95.32379913,96.33052063,3424,4697,4361,"",""
0.25,0.074859619,0.091110229,0.086593628,0.550159097,0.466421038,0.365767866,143.5205231,175.232193,178.6927948,3496,4910,4584,"",""
0.375,0.099380493,0.122497559,0.117156982,0.589063287,0.503114104,0.398729444,208.328125,254.1338806,261.9988708,3519,5029,4687,"",""
0.5,0.121704102,0.153533936,0.145431519,0.612104952,0.525541663,0.419697881,267.5987549,332.7209473,339.9567566,3534,5117,4760,"",""
0.625,0.145584106,0.184020996,0.174346924,0.628192365,0.538723052,0.432918727,331.0850525,408.7912292,420.0539246,3542,5144,4792,"",""
0.75,0.169021606,0.213684082,0.203704834,0.640317023,0.550342739,0.443087697,393.5646057,484.9244385,501.0948792,3554,5174,4813,"",""
0.875,0.190887451,0.242996216,0.230667114,0.649733126,0.559560418,0.450926214,452.5835571,560.6801147,576.7876587,3560,5198,4841,"",""
1.0,0.213760376,0.272140503,0.258209229,0.658648729,0.566806853,0.458031952,514.4968262,636.0582886,654.3050537,3571,5208,4857,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",160
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",6500.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","method","python"
"","","","","","","","","","","","","","w_temperature",3600.0
